Track_Name,Artist_Name,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Track_1,Justin Bieber,Jazz,0.35,0.86,-17.29,0.87,0.78,0.6,0.27,0.19,128
Track_2,Atif Aslam,Electronic,0.22,0.49,-6.1,0.5,0.27,0.67,0.63,0.54,118
Track_3,Adele,Classical,0.78,0.48,-25.04,0.06,0.81,0.6,0.53,0.85,105
Track_4,Taylor Swift,Classical,0.53,0.44,-52.55,0.71,0.53,0.07,0.07,0.05,165
Track_5,Justin Bieber,Classical,0.27,0.98,-52.72,0.62,0.05,0.07,0.97,0.89,93
Track_6,Imagine Dragons,Rock,0.75,0.34,-16.73,0.97,0.46,0.21,0.89,0.67,160
Track_7,Neha Kakkar,Classical,0.64,0.92,-48.97,0.56,0.94,0.29,0.26,0.62,156
Track_8,Justin Bieber,Hip-Hop,0.98,0.82,-40.3,0.34,0.89,0.79,0.12,0.63,88
Track_9,Adele,Pop,0.38,0.26,-30.77,0.52,0.1,0.16,0.94,0.3,182
Track_10,Taylor Swift,Classical,0.52,0.99,-58.51,0.98,0.74,0.04,0.46,0.42,132
Track_11,Atif Aslam,Electronic,0.63,0.42,-45.07,0.7,0.81,0.39,0.31,0.8,63
Track_12,Adele,Pop,0.83,0.28,-35.53,0.67,0.27,0.42,0.49,0.31,97
Track_13,Adele,Rock,0.64,0.86,-43.22,0.24,0.47,0.45,0.77,0.47,79
Track_14,Neha Kakkar,Electronic,0.69,0.77,-51.82,0.74,0.71,0.83,0.17,0.02,172
Track_15,Ed Sheeran,Pop,0.38,0.69,-16.32,0.75,0.44,0.1,0.77,0.73,82
Track_16,Taylor Swift,Electronic,0.88,0.32,-11.21,0.32,0.11,0.7,0.75,0.42,170
Track_17,Shreya Ghoshal,Rock,0.54,0.58,-44.55,0.48,0.71,0.34,0.54,0.53,195
Track_18,Adele,Hip-Hop,0.31,0.82,-13.53,0.29,0.91,0.31,0.87,0.11,104
Track_19,Ed Sheeran,Rock,0.73,0.44,-36.87,0.26,0.65,0.93,0.13,0.99,156
Track_20,Shreya Ghoshal,Rock,0.37,0.45,-29.6,0.03,0.77,0.25,0.6,0.3,92
Track_21,Taylor Swift,Electronic,0.28,0.2,-8.64,0.29,0.36,0.64,0.45,0.63,194
Track_22,Arijit Singh,Bollywood,0.89,0.34,-15.0,0.55,0.18,0.28,0.42,0.58,81
Track_23,Imagine Dragons,Jazz,0.57,0.9,-11.69,0.0,0.64,0.51,0.25,0.79,192
Track_24,Ed Sheeran,Classical,0.8,0.55,-51.79,0.28,0.33,0.79,0.37,0.29,74
Track_25,The Weeknd,Classical,0.43,0.99,-55.82,0.88,0.86,0.88,0.11,0.76,80
Track_26,Arijit Singh,Hip-Hop,0.83,0.52,-6.4,0.59,0.12,0.84,0.25,0.38,185
Track_27,Imagine Dragons,Hip-Hop,0.29,0.77,-36.73,0.61,0.43,0.58,0.27,0.41,148
Track_28,Neha Kakkar,Classical,0.48,0.43,-42.73,0.4,0.4,0.25,0.72,0.67,76
Track_29,Justin Bieber,Jazz,0.98,0.49,-16.52,0.68,0.94,0.66,0.05,0.78,115
Track_30,Atif Aslam,Classical,0.84,0.35,-9.82,0.19,0.15,0.71,0.65,0.67,109
Track_31,The Weeknd,Bollywood,0.6,0.48,-8.25,0.82,0.01,0.01,0.22,0.9,194
Track_32,Neha Kakkar,Jazz,0.47,0.64,-41.04,0.12,0.24,0.44,0.08,0.29,177
Track_33,Taylor Swift,Hip-Hop,0.9,0.99,-8.87,0.66,0.82,0.84,0.3,0.9,181
Track_34,Neha Kakkar,Pop,0.64,0.73,-57.54,0.34,0.21,0.49,0.22,0.13,109
Track_35,Justin Bieber,Electronic,0.81,0.36,-57.02,0.75,0.24,0.31,0.55,0.66,119
Track_36,Taylor Swift,Bollywood,0.8,0.24,-22.59,0.55,0.13,0.87,0.36,0.55,184
Track_37,The Weeknd,Bollywood,0.21,0.3,-56.21,0.45,0.72,0.16,0.97,0.49,175
Track_38,Justin Bieber,Hip-Hop,0.3,0.65,-40.52,0.17,0.07,0.21,0.96,0.31,194
Track_39,Shreya Ghoshal,Hip-Hop,0.73,0.81,-19.63,0.64,0.33,0.69,0.44,0.5,147
Track_40,Atif Aslam,Rock,0.33,0.95,-39.76,0.97,0.28,0.35,0.8,0.16,164
Track_41,The Weeknd,Bollywood,0.4,0.21,-49.22,0.83,0.56,0.71,0.01,0.37,114
Track_42,Shreya Ghoshal,Rock,0.96,0.62,-43.12,0.06,0.73,0.16,0.55,0.1,123
Track_43,Imagine Dragons,Rock,0.65,0.58,-32.55,0.38,0.53,0.25,0.74,0.57,155
Track_44,The Weeknd,Electronic,0.8,0.72,-31.48,0.93,0.93,0.16,0.22,0.1,103
Track_45,Imagine Dragons,Rock,0.65,0.65,-13.02,0.5,0.95,0.95,0.06,0.16,189
Track_46,Taylor Swift,Jazz,0.64,0.75,-14.99,0.66,0.36,0.41,0.16,0.09,109
Track_47,Shreya Ghoshal,Classical,0.28,0.73,-32.59,0.91,0.78,0.34,0.44,0.38,170
Track_48,Atif Aslam,Pop,0.47,0.29,-9.26,0.87,0.74,0.01,0.51,0.84,196
Track_49,Justin Bieber,Hip-Hop,0.43,0.84,-53.15,0.5,0.89,0.15,0.38,0.91,158
Track_50,Adele,Jazz,0.51,0.3,-44.68,0.44,0.45,0.42,0.44,0.07,143
Track_51,Neha Kakkar,Pop,0.84,0.76,-10.32,0.34,0.53,0.07,0.47,0.63,89
Track_52,Arijit Singh,Bollywood,0.5,0.53,-37.32,0.72,0.42,0.51,0.77,0.68,124
Track_53,Atif Aslam,Bollywood,0.56,0.61,-1.13,0.29,0.85,0.46,0.11,0.53,83
Track_54,Shreya Ghoshal,Bollywood,0.52,0.92,-32.02,0.25,0.23,0.77,0.77,0.67,149
Track_55,Adele,Jazz,0.27,0.91,-12.48,0.36,0.24,0.66,0.69,0.23,165
Track_56,Atif Aslam,Jazz,0.55,0.85,-35.86,0.18,0.37,0.45,0.74,0.49,136
Track_57,Shreya Ghoshal,Hip-Hop,0.36,0.61,-34.5,0.7,0.23,0.22,0.73,0.39,127
Track_58,Ed Sheeran,Classical,0.35,0.79,-37.03,0.62,0.56,0.73,0.47,0.09,168
Track_59,Ed Sheeran,Rock,0.28,0.61,-16.86,0.48,0.13,0.71,0.21,0.63,156
Track_60,Imagine Dragons,Bollywood,0.49,0.9,-27.15,0.39,0.32,0.15,0.54,0.5,192
Track_61,Atif Aslam,Electronic,0.81,0.52,-3.37,0.91,0.91,0.91,0.96,0.28,151
Track_62,Ed Sheeran,Classical,0.42,0.98,-44.95,0.03,0.41,0.06,0.59,0.47,147
Track_63,Shreya Ghoshal,Electronic,0.45,0.95,-53.97,0.77,0.75,0.06,0.01,0.78,109
Track_64,Imagine Dragons,Hip-Hop,0.71,0.79,-36.4,0.9,0.11,0.19,0.06,0.8,162
Track_65,Shreya Ghoshal,Hip-Hop,0.36,0.42,-23.0,0.45,0.25,0.91,0.99,0.65,171
Track_66,Imagine Dragons,Hip-Hop,0.92,0.31,-8.35,0.55,0.81,0.52,0.07,0.47,105
Track_67,Atif Aslam,Pop,0.62,0.88,-39.23,0.94,0.76,0.79,0.05,0.58,70
Track_68,Adele,Electronic,0.56,0.33,-20.77,0.21,0.39,0.23,0.35,0.39,71
Track_69,Justin Bieber,Classical,0.65,0.88,-38.99,0.52,0.95,0.49,0.97,0.13,200
Track_70,The Weeknd,Classical,0.33,0.59,-22.97,0.47,0.91,0.36,0.32,0.39,123
Track_71,Adele,Jazz,0.69,0.53,-6.91,0.26,0.96,0.83,0.41,0.53,67
Track_72,Taylor Swift,Jazz,0.49,0.92,-46.12,0.82,0.43,0.02,0.63,0.6,68
Track_73,Shreya Ghoshal,Bollywood,0.92,0.68,-35.75,0.9,0.2,0.24,0.02,0.94,189
Track_74,Taylor Swift,Jazz,0.34,0.66,-0.4,0.78,0.63,0.15,0.9,0.78,137
Track_75,Adele,Hip-Hop,0.61,0.65,-7.89,0.2,0.68,0.86,0.52,0.15,200
Track_76,Imagine Dragons,Classical,0.68,0.5,-26.12,0.09,0.13,0.47,0.47,0.17,61
Track_77,The Weeknd,Electronic,0.23,0.83,-29.0,0.61,0.79,0.4,0.86,0.1,133
Track_78,The Weeknd,Hip-Hop,0.49,0.4,-42.92,0.06,0.02,0.45,0.95,0.74,190
Track_79,Arijit Singh,Pop,0.79,0.95,-28.97,0.67,0.48,0.97,0.42,0.71,193
Track_80,The Weeknd,Jazz,0.86,0.92,-9.11,0.53,0.33,0.85,0.17,0.99,146
Track_81,Justin Bieber,Hip-Hop,0.45,0.47,-18.89,0.66,0.74,0.71,0.82,0.52,64
Track_82,The Weeknd,Hip-Hop,0.84,0.78,-42.6,0.59,0.31,0.29,0.4,0.83,190
Track_83,Adele,Pop,0.97,0.66,-47.91,0.42,0.83,0.17,0.94,0.58,197
Track_84,Arijit Singh,Rock,0.89,0.47,-44.09,0.2,0.59,0.92,0.95,0.87,73
Track_85,Adele,Classical,0.29,0.99,-49.81,0.31,0.79,0.42,0.11,0.72,183
Track_86,Adele,Electronic,0.79,0.22,-54.26,0.52,0.99,0.28,0.96,0.64,102
Track_87,Neha Kakkar,Bollywood,0.46,0.4,-34.85,0.65,0.68,0.47,0.37,0.57,87
Track_88,Arijit Singh,Rock,0.99,0.62,-53.2,0.78,0.98,0.92,0.65,0.72,83
Track_89,Adele,Jazz,0.59,0.62,-49.69,0.77,0.03,0.39,0.03,0.42,76
Track_90,Neha Kakkar,Hip-Hop,0.3,0.67,-27.16,0.97,0.34,0.56,0.89,0.1,142
Track_91,Neha Kakkar,Pop,0.78,0.8,-50.12,0.29,0.11,0.8,0.64,0.04,104
Track_92,Arijit Singh,Pop,0.46,0.7,-56.17,0.07,0.26,0.43,0.64,0.48,133
Track_93,Taylor Swift,Classical,1.0,0.68,-40.96,0.35,0.84,0.23,0.9,0.6,198
Track_94,Imagine Dragons,Rock,0.98,0.24,-46.78,0.74,0.03,0.99,0.51,0.08,120
Track_95,Justin Bieber,Bollywood,0.72,0.5,-29.08,0.44,0.52,0.96,0.41,0.29,97
Track_96,Imagine Dragons,Classical,0.3,0.39,-53.86,0.82,0.57,0.84,0.87,0.32,125
Track_97,The Weeknd,Hip-Hop,0.75,0.41,-14.89,0.55,0.56,0.69,0.74,0.56,92
Track_98,Justin Bieber,Classical,0.27,0.64,-5.63,0.93,0.48,0.29,0.95,0.28,102
Track_99,The Weeknd,Electronic,0.22,0.36,-15.39,0.95,0.79,0.91,0.94,0.1,171
Track_100,Adele,Pop,0.86,0.44,-28.03,0.07,0.13,0.28,0.38,0.16,94
Track_101,Shreya Ghoshal,Pop,0.37,0.39,-8.36,0.46,0.31,0.8,0.45,0.17,96
Track_102,Arijit Singh,Jazz,0.5,0.96,-18.3,0.61,0.62,0.92,0.26,0.84,159
Track_103,Justin Bieber,Jazz,0.98,0.96,-59.37,0.26,0.69,0.6,0.66,0.28,82
Track_104,Justin Bieber,Bollywood,0.47,0.69,-36.35,0.41,0.4,0.8,0.36,0.71,148
Track_105,Adele,Hip-Hop,0.44,0.94,-8.94,0.68,0.88,0.79,0.79,0.57,74
Track_106,Taylor Swift,Electronic,0.93,0.83,-39.25,0.23,0.42,0.19,0.12,0.98,191
Track_107,Neha Kakkar,Rock,0.29,0.67,-57.89,0.6,0.4,0.67,0.12,0.27,81
Track_108,Adele,Classical,0.81,0.21,-15.23,0.7,0.04,0.09,0.2,0.16,137
Track_109,Ed Sheeran,Bollywood,0.99,0.82,-11.88,0.09,0.55,0.51,0.08,0.05,131
Track_110,Neha Kakkar,Hip-Hop,0.92,0.76,-50.36,0.5,0.71,0.16,0.62,0.24,157
Track_111,Arijit Singh,Jazz,0.72,0.69,-27.76,0.26,0.11,0.42,0.15,0.68,149
Track_112,Neha Kakkar,Classical,0.45,0.81,-48.48,0.72,0.31,0.83,0.16,0.09,168
Track_113,Taylor Swift,Jazz,0.4,0.61,-16.85,0.19,0.78,0.99,0.01,0.24,153
Track_114,Neha Kakkar,Classical,0.86,0.76,-43.71,0.89,0.37,0.32,0.78,0.86,139
Track_115,Arijit Singh,Rock,0.9,0.95,-41.03,0.43,0.24,0.53,0.81,0.58,153
Track_116,Taylor Swift,Hip-Hop,0.62,0.5,-9.3,0.2,0.67,0.51,0.16,0.07,139
Track_117,Imagine Dragons,Classical,0.4,0.77,-31.42,0.44,0.2,0.95,0.74,0.05,97
Track_118,Justin Bieber,Electronic,0.29,0.58,-19.81,0.41,0.9,0.48,0.43,0.06,193
Track_119,Justin Bieber,Bollywood,0.27,0.74,-35.86,0.43,0.11,0.7,0.24,0.94,193
Track_120,The Weeknd,Pop,0.78,0.81,-42.12,0.59,0.71,0.92,0.62,0.85,85
Track_121,Imagine Dragons,Electronic,0.54,0.24,-22.47,0.52,0.5,0.37,0.18,0.84,160
Track_122,Imagine Dragons,Electronic,0.92,0.72,-50.71,0.15,0.87,0.9,0.76,0.92,134
Track_123,Neha Kakkar,Bollywood,0.79,0.38,-37.62,0.07,0.13,0.92,0.05,0.51,97
Track_124,Justin Bieber,Pop,0.35,0.74,-47.46,0.73,0.68,0.93,0.96,0.25,142
Track_125,Arijit Singh,Electronic,0.69,0.57,-18.25,0.56,0.57,0.27,0.07,0.4,115
Track_126,Atif Aslam,Classical,0.55,0.82,-3.35,0.36,0.48,0.4,0.58,0.72,164
Track_127,Atif Aslam,Classical,0.66,0.3,-0.27,0.81,0.49,0.87,0.9,0.88,90
Track_128,Taylor Swift,Classical,0.79,0.7,-32.98,0.39,0.72,0.36,0.01,0.44,117
Track_129,Justin Bieber,Pop,0.84,0.42,-44.85,0.8,0.94,0.6,0.5,0.54,132
Track_130,Justin Bieber,Electronic,0.87,0.88,-33.43,0.31,0.09,0.12,0.35,0.93,191
Track_131,Atif Aslam,Pop,0.4,0.94,-9.16,0.07,0.02,0.06,0.58,0.11,69
Track_132,Justin Bieber,Classical,0.22,1.0,-47.64,0.93,0.81,0.41,0.23,0.86,132
Track_133,Neha Kakkar,Bollywood,0.79,0.84,-2.87,0.39,0.11,0.58,0.06,0.16,74
Track_134,Ed Sheeran,Electronic,0.29,0.8,-39.49,0.79,0.99,0.39,0.63,0.48,157
Track_135,Shreya Ghoshal,Electronic,0.45,0.37,-0.85,0.28,0.62,0.58,0.42,0.22,122
Track_136,Imagine Dragons,Jazz,0.2,0.47,-9.68,0.65,0.65,0.52,0.62,0.6,78
Track_137,The Weeknd,Jazz,0.75,0.57,-11.49,0.87,0.2,0.69,0.21,0.56,172
Track_138,Taylor Swift,Rock,0.33,0.82,-40.93,0.04,0.24,0.65,0.34,0.38,122
Track_139,Ed Sheeran,Hip-Hop,0.72,0.93,-59.47,0.83,0.66,0.42,0.56,0.86,175
Track_140,Atif Aslam,Jazz,0.99,0.35,-37.07,0.57,0.91,0.42,0.59,0.66,80
Track_141,Imagine Dragons,Pop,0.26,0.94,-41.89,0.61,0.98,0.14,0.37,0.72,140
Track_142,Justin Bieber,Jazz,0.26,0.76,-57.76,0.52,0.2,0.51,0.28,0.15,125
Track_143,The Weeknd,Rock,0.47,0.69,-29.68,0.87,0.13,0.59,0.27,0.88,124
Track_144,Justin Bieber,Electronic,0.89,0.36,-35.82,0.04,0.06,0.48,0.17,0.17,102
Track_145,Arijit Singh,Rock,0.37,0.24,-21.93,0.26,0.87,0.33,0.33,0.22,116
Track_146,Arijit Singh,Electronic,0.49,0.65,-22.73,0.88,0.29,0.72,0.2,0.13,197
Track_147,The Weeknd,Bollywood,0.25,0.72,-52.76,0.75,0.0,0.07,0.63,0.44,96
Track_148,The Weeknd,Bollywood,0.81,0.37,-1.38,0.02,0.22,0.91,0.57,0.89,179
Track_149,Atif Aslam,Electronic,0.53,0.65,-48.78,0.52,0.34,0.02,0.38,0.25,128
Track_150,The Weeknd,Hip-Hop,0.81,0.89,-33.28,0.53,0.99,0.96,0.33,0.37,115
Track_151,Neha Kakkar,Jazz,0.92,0.87,-30.71,0.4,0.52,0.46,0.24,0.85,178
Track_152,Justin Bieber,Pop,0.39,0.94,-11.22,0.3,0.2,0.41,0.54,0.62,114
Track_153,Ed Sheeran,Pop,0.85,0.49,-54.05,0.68,0.33,0.26,0.92,0.75,97
Track_154,Adele,Classical,0.25,0.45,-34.28,0.21,0.33,0.01,0.69,0.21,74
Track_155,The Weeknd,Electronic,0.92,0.8,-22.29,0.8,0.02,0.27,0.74,0.72,136
Track_156,Taylor Swift,Pop,0.72,0.54,-47.09,0.8,0.14,0.11,0.83,0.23,112
Track_157,Arijit Singh,Hip-Hop,0.9,0.27,-22.35,0.42,0.7,0.66,0.35,0.99,66
Track_158,Neha Kakkar,Electronic,0.2,0.43,-4.58,0.28,0.12,0.32,0.06,0.56,114
Track_159,Imagine Dragons,Hip-Hop,0.34,0.53,-0.15,0.28,0.23,0.77,0.62,0.7,111
Track_160,Adele,Pop,0.51,0.43,-58.05,0.48,0.35,0.21,0.19,0.12,63
Track_161,Ed Sheeran,Pop,0.5,0.47,-45.86,0.72,0.76,0.9,0.57,0.25,102
Track_162,Adele,Classical,0.38,0.44,-41.38,0.36,0.58,0.52,0.74,0.14,99
Track_163,The Weeknd,Pop,0.51,0.23,-36.05,0.61,0.69,0.11,0.78,0.39,180
Track_164,Atif Aslam,Electronic,0.3,0.71,-45.46,0.38,0.57,0.4,0.3,0.28,89
Track_165,Arijit Singh,Bollywood,0.53,0.68,-47.79,0.3,0.68,0.21,0.51,0.73,197
Track_166,Arijit Singh,Electronic,0.84,0.72,-2.73,0.02,0.0,0.2,0.62,0.11,162
Track_167,Imagine Dragons,Electronic,0.58,0.35,-4.89,0.0,0.93,0.51,0.82,0.75,66
Track_168,Atif Aslam,Classical,0.21,0.44,-57.18,0.23,0.11,0.67,0.76,0.05,168
Track_169,Justin Bieber,Classical,0.54,0.7,-39.67,0.41,0.41,0.91,0.99,0.2,79
Track_170,Shreya Ghoshal,Pop,0.22,0.68,-35.69,0.85,0.77,0.5,0.01,0.79,108
Track_171,Neha Kakkar,Rock,0.97,0.61,-45.66,0.8,0.44,0.97,0.44,0.74,155
Track_172,Arijit Singh,Rock,0.3,0.48,-22.27,0.27,0.95,0.94,0.26,0.48,118
Track_173,Taylor Swift,Classical,0.77,0.93,-21.58,0.24,0.47,0.87,0.12,0.05,149
Track_174,Arijit Singh,Pop,0.98,0.47,-8.97,0.23,0.87,0.5,0.91,0.61,85
Track_175,Adele,Rock,0.86,0.56,-15.55,0.34,0.81,0.14,1.0,0.41,95
Track_176,Arijit Singh,Pop,0.76,0.74,-27.45,0.5,0.98,0.22,0.18,0.32,185
Track_177,Arijit Singh,Pop,0.87,0.63,-20.78,0.44,0.93,0.65,0.04,0.64,102
Track_178,Shreya Ghoshal,Pop,0.99,0.48,-43.56,0.22,0.9,0.42,0.28,0.44,158
Track_179,Shreya Ghoshal,Jazz,0.7,0.55,-24.42,0.13,0.73,0.15,0.83,0.09,92
Track_180,Ed Sheeran,Electronic,0.65,0.84,-30.65,0.01,0.37,0.48,0.29,0.92,159
Track_181,Justin Bieber,Pop,0.7,0.42,-52.0,0.15,0.11,0.02,0.06,0.78,156
Track_182,Taylor Swift,Jazz,0.63,0.31,-45.45,0.71,0.69,0.73,0.05,0.06,104
Track_183,Arijit Singh,Classical,0.71,0.45,-42.5,0.24,0.98,0.07,0.43,0.53,147
Track_184,Arijit Singh,Rock,0.56,0.88,-4.54,0.47,0.73,0.63,0.93,0.08,154
Track_185,Neha Kakkar,Electronic,0.37,0.27,-46.18,0.59,0.93,0.79,0.29,0.84,76
Track_186,Shreya Ghoshal,Bollywood,0.3,0.99,-42.65,0.89,0.8,0.13,0.43,0.61,199
Track_187,Taylor Swift,Rock,0.25,0.63,-37.84,0.89,0.16,0.52,0.1,0.17,81
Track_188,Imagine Dragons,Electronic,0.41,0.99,-20.18,0.75,0.25,0.78,0.49,0.02,149
Track_189,Ed Sheeran,Bollywood,0.24,0.95,-52.91,0.04,0.34,0.26,0.7,0.03,137
Track_190,Justin Bieber,Rock,0.65,0.56,-2.76,0.58,0.17,0.16,0.27,0.51,199
Track_191,Atif Aslam,Electronic,0.43,0.36,-8.07,0.79,0.58,0.34,0.3,0.73,173
